"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"188","Dawson Knox","BUF","13","TE20","138","201","242","193.7"
"189","Gerald Everett","LAC","5","TE21","217","177","189","194.3"
"190","Taysom Hill","NO","11","TE22","150","197","238","195.0"
"191","New Orleans Saints","DST","11","DST10","227","143","220","196.7"
"192","Pittsburgh Steelers","DST","6","DST11","215","161","214","196.7"
"193","Mac Jones","NE","11","QB27","122","","181","151.5"
"194","Gus Edwards","BAL","13","RB61","194","206","197","199.0"
"195","Irv Smith Jr.","CIN","7","TE23","186","224","188","199.3"
"196","DJ Chark Jr.","CAR","7","WR65","182","198","221","200.3"
"197","Kyler Murray","ARI","14","QB28","222","192","191","201.7"
"198","Sam Howell","WAS","14","QB29","216","231","160","202.3"
"199","Jake Moody","SF","9","K10","144","211","260","205.0"
"200","Tyjae Spears","TEN","7","RB62","","178","148","163.0"
"201","Rondale Moore","ARI","14","WR66","","179","149","164.0"
"202","Zach Ertz","ARI","14","TE24","153","232","236","207.0"
"203","Brandon McManus","JAC","9","K11","232","163","229","208.0"
"204","Jacksonville Jaguars","DST","9","DST12","229","208","192","209.7"
"205","Hayden Hurst","CAR","7","TE25","161","245","228","211.3"
"206","Jason Sanders","MIA","10","K12","220","155","262","212.3"
"207","Jake Ferguson","DAL","7","TE26","221","212","206","213.0"
"208","Tyler Conklin","NYJ","7","TE27","143","246","253","214.0"
"209","Michael Mayer","LV","13","TE28","204","195","244","214.3"
"210","Kansas City Chiefs","DST","10","DST13","219","207","219","215.0"
"211","Donovan Peoples-Jones","CLE","5","WR67","","219","140","179.5"
"212","Leonard Fournette","","","RB63","196","225","231","217.3"
"213","Mike Gesicki","NE","11","TE29","205","244","204","217.7"
"214","Washington Commanders","DST","14","DST14","236","182","237","218.3"
"215","Hunter Henry","NE","11","TE30","209","233","217","219.7"
"216","Jonathan Mingo","CAR","7","WR68","","169","200","184.5"
"217","Graham Gano","NYG","13","K13","225","181","255","220.3"
"218","Cincinnati Bengals","DST","7","DST15","224","210","234","222.7"
"219","K.J. Osborn","MIN","13","WR69","","215","166","190.5"
"220","Green Bay Packers","DST","6","DST16","233","183","265","227.0"
"221","Seattle Seahawks","DST","5","DST17","218","193","272","227.7"
"222","Matt Gay","IND","11","K14","223","209","258","230.0"
"223","Tank Dell","HOU","7","WR70","","190","210","200.0"
"224","New York Giants","DST","13","DST18","169","","232","200.5"
"225","Alec Pierce","IND","11","WR71","","204","199","201.5"
"226","Joshua Kelley","LAC","5","RB64","","230","183","206.5"
"227","Ty Chandler","MIN","13","RB65","","217","202","209.5"
"228","Justyn Ross","KC","10","WR72","","187","233","210.0"
"229","Van Jefferson","LAR","10","WR73","","200","222","211.0"
"230","Chris Boswell","PIT","6","K15","206","","216","211.0"
"231","Minnesota Vikings","DST","13","DST19","175","","250","212.5"
"232","Jayden Reed","GB","6","WR74","","214","212","213.0"
"233","Jerome Ford","CLE","5","RB66","","222","209","215.5"
"234","Marquez Valdes-Scantling","KC","10","WR75","","216","218","217.0"
"235","Brett Maher","","","K16","158","","278","218.0"
"236","Parris Campbell","NYG","13","WR76","","241","196","218.5"
"237","Isaiah Hodgins","NYG","13","WR77","","234","203","218.5"
"238","Nick Folk","TEN","7","K17","149","","","149.0"
"239","Zack Moss","IND","11","RB67","","229","211","220.0"
"240","Cleveland Browns","DST","5","DST20","200","","243","221.5"
"241","Chase Brown","CIN","7","RB68","","203","248","225.5"
"242","Chicago Bears","DST","13","DST21","162","","","162.0"
"243","Greg Zuerlein","NYJ","7","K18","228","","226","227.0"
"244","Michael Carter","NYJ","7","RB69","167","","290","228.5"
"245","John Metchie III","HOU","7","WR78","","220","241","230.5"
"246","Ryan Tannehill","TEN","7","QB30","","","171","171.0"
"247","Evan Hull","IND","11","RB70","","228","240","234.0"
"248","Deon Jackson","IND","11","RB71","","","178","178.0"
"249","Atlanta Falcons","DST","11","DST22","184","","285","234.5"
"250","Baker Mayfield","TB","5","QB31","","","179","179.0"
"251","Colt McCoy","","","QB32","","","180","180.0"
"252","Hunter Renfrow","LV","13","WR79","","223","252","237.5"
"253","Matt Prater","ARI","14","K19","185","","","185.0"
"254","Desmond Ridder","ATL","11","QB33","","","185","185.0"
"255","Curtis Samuel","WAS","14","WR80","","227","251","239.0"
"256","Rashid Shaheed","NO","11","WR81","","226","257","241.5"
"257","Mecole Hardman Jr.","NYJ","7","WR82","","237","246","241.5"
"258","Kyren Williams","LAR","10","RB72","","","195","195.0"
"259","Wil Lutz","DEN","9","K20","211","","279","245.0"
"260","Chase Claypool","CHI","13","WR83","","242","249","245.5"
"261","Richie James Jr.","KC","10","WR84","","","205","205.0"
"262","Greg Joseph","MIN","13","K21","230","","266","248.0"
"263","Aidan O'Connell","LV","13","QB34","","","207","207.0"
"264","Michael Wilson","ARI","14","WR85","","235","268","251.5"
"265","Michael Badgley","","","K22","214","","","214.0"
"266","Josh Downs","IND","11","WR86","","239","267","253.0"
"267","Isaiah Likely","BAL","13","TE31","","250","259","254.5"
"268","Riley Patterson","DET","9","K23","226","","284","255.0"
"269","Wan'Dale Robinson","NYG","13","WR87","","249","261","255.0"
"270","Robert Woods","HOU","7","WR88","","243","270","256.5"
"271","Sean Tucker","TB","5","RB73","","","223","223.0"
"272","Chase Edmonds","TB","5","RB74","","","225","225.0"
"273","DeVante Parker","NE","11","WR89","","236","280","258.0"
"274","Trey Lance","DAL","7","QB35","","","227","227.0"
"275","Robbie Gould","","","K24","231","","","231.0"
"276","Trey McBride","ARI","14","TE32","","251","273","262.0"
"277","Los Angeles Rams","DST","10","DST23","234","","","234.0"
"278","Detroit Lions","DST","9","DST24","235","","","235.0"
"279","Tampa Bay Buccaneers","DST","5","DST25","237","","","237.0"
"280","Carolina Panthers","DST","7","DST26","238","","","238.0"
"281","Zach Evans","LAR","10","RB75","","248","282","265.0"
"282","Puka Nacua","LAR","10","WR90","","240","","240.0"
"283","Darius Slayton","NYG","13","WR91","","","245","245.0"
"284","Sam Darnold","SF","9","QB36","","","247","247.0"
"285","DeWayne McBride","","","RB76","","247","","247.0"
"286","Kris Leach","","","TE33","","252","","252.0"
"287","Jose Barbon","","","WR92","","253","","253.0"
"288","Logan Thomas","WAS","14","TE34","","","254","254.0"
"289","Jalen Cropper","","","WR93","","254","","254.0"
"290","Bruce Miller","","","TE35","","255","","255.0"
"291","Joshua Palmer","LAC","5","WR94","","","256","256.0"
"292","Brian Cobbs","","","WR95","","256","","256.0"
"293","Tyler Eifert","","","TE36","","257","","257.0"
"294","Jordan Reed","","","TE37","","258","","258.0"
"295","Elliott Fry","","","K25","","259","","259.0"
"296","Brett Rypien","","","QB37","","260","","260.0"
"297","Vernon Davis","","","TE38","","262","","262.0"
"298","Cade Otton","TB","5","TE39","","","263","263.0"
"299","Noah Fant","SEA","5","TE40","","","264","264.0"
"300","Tristan Vizcaino","","","K26","","265","","265.0"
"301","Dai'Jean Dixon","","","WR96","","267","","267.0"
"302","Demetrius Harris","","","TE41","","268","","268.0"
"303","Derek Carrier","","","TE42","","269","","269.0"
"304","Allen Robinson II","PIT","6","WR97","","","269","269.0"
"305","Luke Willson","","","TE43","","270","","270.0"
"306","Matt Breida","NYG","13","RB77","","","271","271.0"
"307","Brandon Johnson","DEN","9","WR98","","272","","272.0"
"308","Josh Hill","","","TE44","","274","","274.0"
"309","Chris Evans","CIN","7","RB78","","","274","274.0"
"310","Trey Burton","","","TE45","","275","","275.0"
"311","Keaontay Ingram","ARI","14","RB79","","","275","275.0"
"312","Rico Dowdle","DAL","7","RB80","","","276","276.0"
"313","Josh Reynolds","DET","9","WR99","","","277","277.0"
"314","Hassan Hall","","","RB81","","278","","278.0"
"315","Sean McKeon","","","TE46","","279","","279.0"
"316","Jordan Mims","","","RB82","","280","","280.0"
"317","Garrett Gilbert","","","QB38","","281","","281.0"
"318","Cedric Tillman","CLE","5","WR100","","","281","281.0"
"319","Jordan Matthews","","","WR101","","282","","282.0"
"320","Latavius Murray","BUF","13","RB83","","","283","283.0"
"321","Laquon Treadwell","","","WR102","","283","","283.0"
"322","Jack Colletto","","","RB84","","284","","284.0"
"323","Brandon Wright","","","K27","","285","","285.0"
"324","Stephen Hauschka","","","K28","","286","","286.0"
"325","Pierre Strong Jr.","CLE","5","RB85","","","286","286.0"
"326","Khalil Shakir","BUF","13","WR103","","","287","287.0"
"327","Mack Hollins","ATL","11","WR104","","","288","288.0"
"328","Dalton Keene","","","TE47","","288","","288.0"
"329","Justice Hill","BAL","13","RB86","","","289","289.0"
"330","Quinn Nordin","","","K29","","289","","289.0"
"331","Kevin Rader","","","TE48","","290","","290.0"
"332","Michael Palardy","","","P1","","291","","291.0"
"333","Sean Mannion","","","QB39","","292","","292.0"
"334","Grant Calcaterra","PHI","10","TE49","","293","","293.0"
"335","Mason Rudolph","PIT","6","QB40","","294","","294.0"
"336","Danny Etling","","","QB41","","295","","295.0"
"337","Josh Imatorbhebhe","","","WR105","","296","","296.0"
"338","Aaron Dykes","","","RB87","","297","","297.0"
"339","J.D. McKissic","","","RB88","","298","","298.0"
"340","Brian Lewerke","","","QB42","","299","","299.0"
""
""
